"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","18752","0.0-0.0","2025-07-28T19:25:36.759Z","3_d1v6ve","","","","","","","","","","","","",""
"","","","","","survey","1","39768","0.0-1.0","2025-07-28T19:25:36.759Z","3_d1v6ve","20922","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","8726868","0.0-2.0","2025-07-28T19:25:36.759Z","3_d1v6ve","8687147","{""subject_id"":""3_d1v6ve""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","8795226","0.0-3.0-0.0","2025-07-28T19:25:36.759Z","3_d1v6ve","68351","1","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","8802213","0.0-3.0-1.0","2025-07-28T19:25:36.759Z","3_d1v6ve","6982","50","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","8829224","0.0-3.0-2.0","2025-07-28T19:25:36.759Z","3_d1v6ve","27003","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","9011853","0.0-3.0-3.0","2025-07-28T19:25:36.759Z","3_d1v6ve","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","9011855","0.0-3.0-4.0-0.0","2025-07-28T19:25:36.759Z","3_d1v6ve","","","","","","","","","","","","",""
"","","","","","survey","8","9179056","0.0-3.0-4.0-1.0","2025-07-28T19:25:36.759Z","3_d1v6ve","166920","{""PCIRest1"":3,""PCIRest2"":0,""PCIRest3"":5,""PCIRest4"":4,""PCIRest5"":1,""PCIRest6"":6,""PCIRest7"":5,""PCIRest8"":3,""PCIRest9"":1,""PCIRest10"":5,""PCIRest11"":1,""PCIRest12"":1,""PCIRest13"":1,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","9179058","0.0-3.0-4.0-2.0","2025-07-28T19:25:36.759Z","3_d1v6ve","","","","","","","","","","","","",""
"","","","","","instructions","10","9203683","0.0-3.0-5.0","2025-07-28T19:25:36.759Z","3_d1v6ve","24623","","instructions1","","","","[{""page_index"":0,""viewing_time"":24622}]","","","","","",""
