"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","21833","0.0-0.0","2025-09-11T15:06:19.607Z","6_q07q2g","","","","","","","","","","","","",""
"","","","","","survey","1","30206","0.0-1.0","2025-09-11T15:06:19.607Z","6_q07q2g","8321","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","209848","0.0-2.0","2025-09-11T15:06:19.607Z","6_q07q2g","179504","{""subject_id"":""6_q07q2g""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","233762","0.0-3.0-0.0","2025-09-11T15:06:19.607Z","6_q07q2g","23911","16","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","238753","0.0-3.0-1.0","2025-09-11T15:06:19.607Z","6_q07q2g","4989","99","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","273874","0.0-3.0-2.0","2025-09-11T15:06:19.607Z","6_q07q2g","35105","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","456394","0.0-3.0-3.0","2025-09-11T15:06:19.607Z","6_q07q2g","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","456395","0.0-3.0-4.0-0.0","2025-09-11T15:06:19.607Z","6_q07q2g","","","","","","","","","","","","",""
"","","","","","survey","8","563298","0.0-3.0-4.0-1.0","2025-09-11T15:06:19.607Z","6_q07q2g","106752","{""PCIRest1"":3,""PCIRest2"":0,""PCIRest3"":6,""PCIRest4"":6,""PCIRest5"":0,""PCIRest6"":6,""PCIRest7"":6,""PCIRest8"":3,""PCIRest9"":0,""PCIRest10"":6,""PCIRest11"":0,""PCIRest12"":0,""PCIRest13"":0,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","563302","0.0-3.0-4.0-2.0","2025-09-11T15:06:19.607Z","6_q07q2g","","","","","","","","","","","","",""
