"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","8888","0.0-0.0","2025-11-10T11:07:01.661Z","2_krrm90","","","","","","","","","","","","",""
"","","","","","survey","1","51238","0.0-1.0","2025-11-10T11:07:01.661Z","2_krrm90","42322","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","155659","0.0-2.0","2025-11-10T11:07:01.661Z","2_krrm90","104390","{""subject_id"":""2_krrm90""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","173797","0.0-3.0-0.0","2025-11-10T11:07:01.661Z","2_krrm90","18136","73","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","180656","0.0-3.0-1.0","2025-11-10T11:07:01.661Z","2_krrm90","6857","96","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","183200","0.0-3.0-2.0","2025-11-10T11:07:01.661Z","2_krrm90","2542","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","365702","0.0-3.0-3.0","2025-11-10T11:07:01.661Z","2_krrm90","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","365703","0.0-3.0-4.0-0.0","2025-11-10T11:07:01.661Z","2_krrm90","","","","","","","","","","","","",""
"","","","","","survey","8","541269","0.0-3.0-4.0-1.0","2025-11-10T11:07:01.661Z","2_krrm90","175513","{""PCIRest1"":6,""PCIRest2"":3,""PCIRest3"":6,""PCIRest4"":3,""PCIRest5"":0,""PCIRest6"":5,""PCIRest7"":6,""PCIRest8"":3,""PCIRest9"":4,""PCIRest10"":5,""PCIRest11"":0,""PCIRest12"":3,""PCIRest13"":0,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","541271","0.0-3.0-4.0-2.0","2025-11-10T11:07:01.661Z","2_krrm90","","","","","","","","","","","","",""
