"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","3634","0.0-0.0","2025-11-11T09:58:39.959Z","6_xxxxxx","","","","","","","","","","","","",""
"","","","","","survey","1","13607","0.0-1.0","2025-11-11T09:58:39.959Z","6_xxxxxx","9948","{""testrun"":""Pilot (Testlauf)""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","68864","0.0-2.0","2025-11-11T09:58:39.959Z","6_xxxxxx","55241","{""subject_id"":""6_xxxxxx""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","118010","0.0-3.0-0.0","2025-11-11T09:58:39.959Z","6_xxxxxx","49141","55","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","141609","0.0-3.0-1.0","2025-11-11T09:58:39.959Z","6_xxxxxx","23596","61","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","164243","0.0-3.0-2.0","2025-11-11T09:58:39.959Z","6_xxxxxx","22631","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","346776","0.0-3.0-3.0","2025-11-11T09:58:39.959Z","6_xxxxxx","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","346778","0.0-3.0-4.0-0.0","2025-11-11T09:58:39.959Z","6_xxxxxx","","","","","","","","","","","","",""
"","","","","","survey","8","844576","0.0-3.0-4.0-1.0","2025-11-11T09:58:39.959Z","6_xxxxxx","497691","{""PCIRest13"":2,""PCIRest12"":2,""PCIRest11"":2,""PCIRest10"":2,""PCIRest9"":2,""PCIRest8"":2,""PCIRest7"":2,""PCIRest6"":2,""PCIRest5"":2,""PCIRest4"":2,""PCIRest3"":2,""PCIRest2"":2,""PCIRest1"":2,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","844577","0.0-3.0-4.0-2.0","2025-11-11T09:58:39.959Z","6_xxxxxx","","","","","","","","","","","","",""
