"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","12434","0.0-0.0","2025-11-11T15:42:21.505Z","2_30mfxc","","","","","","","","","","","","",""
"","","","","","survey","1","26422","0.0-1.0","2025-11-11T15:42:21.505Z","2_30mfxc","13945","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","34753","0.0-2.0","2025-11-11T15:42:21.505Z","2_30mfxc","8282","{""subject_id"":""2_30mfxc""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","76718","0.0-3.0-0.0","2025-11-11T15:42:21.505Z","2_30mfxc","41961","50","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","83427","0.0-3.0-1.0","2025-11-11T15:42:21.505Z","2_30mfxc","6706","99","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","96909","0.0-3.0-2.0","2025-11-11T15:42:21.505Z","2_30mfxc","13480","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","279422","0.0-3.0-3.0","2025-11-11T15:42:21.505Z","2_30mfxc","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","279425","0.0-3.0-4.0-0.0","2025-11-11T15:42:21.505Z","2_30mfxc","","","","","","","","","","","","",""
"","","","","","survey","8","564039","0.0-3.0-4.0-1.0","2025-11-11T15:42:21.505Z","2_30mfxc","284522","{""PCIRest1"":4,""PCIRest2"":3,""PCIRest3"":2,""PCIRest4"":2,""PCIRest5"":4,""PCIRest6"":3,""PCIRest7"":3,""PCIRest8"":2,""PCIRest9"":5,""PCIRest10"":2,""PCIRest11"":2,""PCIRest12"":2,""PCIRest13"":3,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","564041","0.0-3.0-4.0-2.0","2025-11-11T15:42:21.505Z","2_30mfxc","","","","","","","","","","","","",""
"","","","","","instructions","10","736346","0.0-3.0-5.0","2025-11-11T15:42:21.505Z","2_30mfxc","172302","","instructions1","","","","[{""page_index"":0,""viewing_time"":172301}]","","","","","",""
"","","","","","html-button-response","11","787220","0.0-3.0-6.0","2025-11-11T15:42:21.505Z","2_30mfxc","50851","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
