"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","22077","0.0-0.0","2025-11-29T10:37:59.692Z","2_ojvkp4","","","","","","","","","","","","",""
"","","","","","survey","1","1556986","0.0-1.0","2025-11-29T10:37:59.692Z","2_ojvkp4","1534854","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","1587094","0.0-2.0","2025-11-29T10:37:59.692Z","2_ojvkp4","30021","{""subject_id"":""2_ojvkp4""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","1596408","0.0-3.0-0.0","2025-11-29T10:37:59.692Z","2_ojvkp4","9301","73","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","1603392","0.0-3.0-1.0","2025-11-29T10:37:59.692Z","2_ojvkp4","6981","100","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","1609115","0.0-3.0-2.0","2025-11-29T10:37:59.692Z","2_ojvkp4","5719","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","1791720","0.0-3.0-3.0","2025-11-29T10:37:59.692Z","2_ojvkp4","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","1791723","0.0-3.0-4.0-0.0","2025-11-29T10:37:59.692Z","2_ojvkp4","","","","","","","","","","","","",""
"","","","","","survey","8","2022583","0.0-3.0-4.0-1.0","2025-11-29T10:37:59.692Z","2_ojvkp4","230789","{""PCIRest1"":5,""PCIRest2"":2,""PCIRest3"":4,""PCIRest4"":3,""PCIRest5"":1,""PCIRest6"":5,""PCIRest7"":4,""PCIRest8"":3,""PCIRest9"":1,""PCIRest10"":5,""PCIRest11"":4,""PCIRest12"":3,""PCIRest13"":2,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","2022584","0.0-3.0-4.0-2.0","2025-11-29T10:37:59.692Z","2_ojvkp4","","","","","","","","","","","","",""
