"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history"
"true","false","[]","[]","[]","preload","0","30908","0.0-0.0","2025-12-04T11:06:14.121Z","2_qlshzb","","","","","","",""
"","","","","","survey","1","1338338","0.0-1.0","2025-12-04T11:06:14.121Z","2_qlshzb","1307389","{""testrun"":""Experiment""}","testrun","","","",""
"","","","","","survey-text","2","1342635","0.0-2.0","2025-12-04T11:06:14.121Z","2_qlshzb","4221","{""subject_id"":""2_qlshzb""}","welcome","","","",""
"","","","","","html-slider-response","3","1415975","0.0-3.0-0.0","2025-12-04T11:06:14.121Z","2_qlshzb","73328","65","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","",""
"","","","","","html-slider-response","4","1427117","0.0-3.0-1.0","2025-12-04T11:06:14.121Z","2_qlshzb","11140","100","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","",""
"","","","","","html-button-response","5","1447392","0.0-3.0-2.0","2025-12-04T11:06:14.121Z","2_qlshzb","20271","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","",""
"","","","","","html-keyboard-response","6","1630061","0.0-3.0-3.0","2025-12-04T11:06:14.121Z","2_qlshzb","null","null","rest","","","",""
"","","","","","call-function","7","1630064","0.0-3.0-4.0-0.0","2025-12-04T11:06:14.121Z","2_qlshzb","","","","","","",""
"","","","","","survey","8","1793866","0.0-3.0-4.0-1.0","2025-12-04T11:06:14.121Z","2_qlshzb","163747","{""PCIRest1"":5,""PCIRest2"":3,""PCIRest3"":3,""PCIRest4"":4,""PCIRest5"":0,""PCIRest6"":3,""PCIRest7"":6,""PCIRest8"":0,""PCIRest9"":0,""PCIRest10"":6,""PCIRest11"":0,""PCIRest12"":3,""PCIRest13"":0,""PCIIntro"":null}","PCIRest","","","",""
"","","","","","call-function","9","1793867","0.0-3.0-4.0-2.0","2025-12-04T11:06:14.121Z","2_qlshzb","","","","","","",""
"","","","","","instructions","10","1899191","0.0-3.0-5.0","2025-12-04T11:06:14.121Z","2_qlshzb","105323","","instructions1","","","","[{""page_index"":0,""viewing_time"":105322}]"
"","","","","","html-button-response","11","2052754","0.0-3.0-6.0","2025-12-04T11:06:14.121Z","2_qlshzb","153556","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","",""
