"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","22497","0.0-0.0","2025-12-06T09:47:52.526Z","2_6rslf0","","","","","","","","","","","","",""
"","","","","","survey","1","1336092","0.0-1.0","2025-12-06T09:47:52.526Z","2_6rslf0","1313572","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","1473402","0.0-2.0","2025-12-06T09:47:52.526Z","2_6rslf0","137262","{""subject_id"":""2_6rslf0""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","1596648","0.0-3.0-0.0","2025-12-06T09:47:52.526Z","2_6rslf0","123241","75","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","1599744","0.0-3.0-1.0","2025-12-06T09:47:52.526Z","2_6rslf0","3092","100","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","1603409","0.0-3.0-2.0","2025-12-06T09:47:52.526Z","2_6rslf0","3663","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","1786033","0.0-3.0-3.0","2025-12-06T09:47:52.526Z","2_6rslf0","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","1786036","0.0-3.0-4.0-0.0","2025-12-06T09:47:52.526Z","2_6rslf0","","","","","","","","","","","","",""
"","","","","","survey","8","1916433","0.0-3.0-4.0-1.0","2025-12-06T09:47:52.526Z","2_6rslf0","130339","{""PCIRest1"":6,""PCIRest2"":1,""PCIRest3"":5,""PCIRest4"":5,""PCIRest5"":2,""PCIRest6"":1,""PCIRest7"":6,""PCIRest8"":1,""PCIRest9"":1,""PCIRest10"":2,""PCIRest11"":2,""PCIRest12"":1,""PCIRest13"":1,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","1916435","0.0-3.0-4.0-2.0","2025-12-06T09:47:52.526Z","2_6rslf0","","","","","","","","","","","","",""
"","","","","","instructions","10","1996631","0.0-3.0-5.0","2025-12-06T09:47:52.526Z","2_6rslf0","80194","","instructions1","","","","[{""page_index"":0,""viewing_time"":80194}]","","","","","",""
"","","","","","html-button-response","11","2144829","0.0-3.0-6.0","2025-12-06T09:47:52.526Z","2_6rslf0","148190","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","4334966","0.0-3.0-7.0","2025-12-06T09:47:52.526Z","2_6rslf0","null","null","GanzfeldPlay","../audio/English_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","4334969","0.0-3.0-8.0-0.0","2025-12-06T09:47:52.526Z","2_6rslf0","","","","","","","","","","","","",""
"","","","","","survey","14","4585678","0.0-3.0-8.0-1.0","2025-12-06T09:47:52.526Z","2_6rslf0","250661","{""PCIGanz1"":4,""PCIGanz2"":6,""PCIGanz3"":2,""PCIGanz4"":6,""PCIGanz5"":6,""PCIGanz6"":0,""PCIGanz7"":1,""PCIGanz8"":0,""PCIGanz9"":0,""PCIGanz10"":0,""PCIGanz11"":5,""PCIGanz12"":5,""PCIGanz13"":6,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","4585680","0.0-3.0-8.0-2.0","2025-12-06T09:47:52.526Z","2_6rslf0","","","","","","","","","","","","",""
"","","","","","survey","16","4679455","0.0-3.0-9.0","2025-12-06T09:47:52.526Z","2_6rslf0","93761","{""DSSQ"":{""DSSQ01"":3,""DSSQ02"":1,""DSSQ03"":1,""DSSQ04"":2,""DSSQ05"":2,""DSSQ06"":4,""DSSQ07"":1,""DSSQ08"":1},""DSSQIntro"":null}","DSSQ","","","","","","","","","",""
"","","","","","html-slider-response","17","4685463","0.0-3.0-10.0","2025-12-06T09:47:52.526Z","2_6rslf0","6006","0","time1","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>1. How often did you think about time <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","html-slider-response","18","4696590","0.0-3.0-11.0","2025-12-06T09:47:52.526Z","2_6rslf0","11122","16","time2","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>2. How fast did time pass for you <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","instructions","19","4775940","0.0-4.0","2025-12-06T09:47:52.526Z","2_6rslf0","79347","","instructions2","","","","[{""page_index"":0,""viewing_time"":79346}]","","","","","",""
"","","","","","html-button-response","20","4779256","0.0-5.0","2025-12-06T09:47:52.526Z","2_6rslf0","3312","0","videoIntro","<p>Now we would like you to watch two short videos and rate how similar they are to your Ganzfeld experience.</p><p>Please click ""Continue"" when you are ready.</p>","","","","5","0","3","../video/13 A Alien Contact.mp4","../video/13 D Meeting the Devil.mp4",""
"true","false","[]","[]","[]","preload","21","4784642","0.0-6.0","2025-12-06T09:47:52.526Z","2_6rslf0","","","","","","","","","","","","",""
"","","","","","survey-html-form","22","5262852","0.0-7.0-0.0","2025-12-06T09:47:52.526Z","2_6rslf0","478203","{""ClipA"":""85"",""ClipB"":""0""}","videoRating","","","","","","","","","",""
"","","","","","html-button-response","23","5266213","0.0-8.0","2025-12-06T09:47:52.526Z","2_6rslf0","3358","0","videoTargetIntro","<p>We will now select the target video.</p><p>Please watch the selected video a second time.</p>","","","","","","","","","[""../video/13 A Alien Contact.mp4""]"
"","","","","","video-keyboard-response","24","5333095","0.0-9.0","2025-12-06T09:47:52.526Z","2_6rslf0","null","null","videoTarget","[""../video/13 A Alien Contact.mp4""]","","","","","","","","",""
