"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","12808","0.0-0.0","2025-12-12T16:21:14.304Z","2_qpsr0p","","","","","","","","","","","","",""
"","","","","","survey","1","36760","0.0-1.0","2025-12-12T16:21:14.304Z","2_qpsr0p","23910","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","43914","0.0-2.0","2025-12-12T16:21:14.304Z","2_qpsr0p","7085","{""subject_id"":""2_qpsr0p""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","59185","0.0-3.0-0.0","2025-12-12T16:21:14.304Z","2_qpsr0p","15268","50","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","63729","0.0-3.0-1.0","2025-12-12T16:21:14.304Z","2_qpsr0p","4540","100","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","88540","0.0-3.0-2.0","2025-12-12T16:21:14.304Z","2_qpsr0p","24811","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","271055","0.0-3.0-3.0","2025-12-12T16:21:14.304Z","2_qpsr0p","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","271057","0.0-3.0-4.0-0.0","2025-12-12T16:21:14.304Z","2_qpsr0p","","","","","","","","","","","","",""
"","","","","","survey","8","438765","0.0-3.0-4.0-1.0","2025-12-12T16:21:14.304Z","2_qpsr0p","167616","{""PCIRest1"":5,""PCIRest2"":3,""PCIRest3"":5,""PCIRest4"":4,""PCIRest5"":3,""PCIRest6"":4,""PCIRest7"":3,""PCIRest8"":2,""PCIRest9"":1,""PCIRest10"":6,""PCIRest11"":2,""PCIRest12"":3,""PCIRest13"":1,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","438768","0.0-3.0-4.0-2.0","2025-12-12T16:21:14.304Z","2_qpsr0p","","","","","","","","","","","","",""
"","","","","","instructions","10","469509","0.0-3.0-5.0","2025-12-12T16:21:14.304Z","2_qpsr0p","30738","","instructions1","","","","[{""page_index"":0,""viewing_time"":30737}]","","","","","",""
"","","","","","html-button-response","11","486137","0.0-3.0-6.0","2025-12-12T16:21:14.304Z","2_qpsr0p","16595","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","2677136","0.0-3.0-7.0","2025-12-12T16:21:14.304Z","2_qpsr0p","null","null","GanzfeldPlay","../audio/English_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","2677139","0.0-3.0-8.0-0.0","2025-12-12T16:21:14.304Z","2_qpsr0p","","","","","","","","","","","","",""
"","","","","","survey","14","2924840","0.0-3.0-8.0-1.0","2025-12-12T16:21:14.304Z","2_qpsr0p","247609","{""PCIGanz1"":6,""PCIGanz2"":6,""PCIGanz3"":0,""PCIGanz4"":6,""PCIGanz5"":6,""PCIGanz6"":0,""PCIGanz7"":0,""PCIGanz8"":0,""PCIGanz9"":5,""PCIGanz10"":0,""PCIGanz11"":6,""PCIGanz12"":6,""PCIGanz13"":6,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","2924841","0.0-3.0-8.0-2.0","2025-12-12T16:21:14.304Z","2_qpsr0p","","","","","","","","","","","","",""
"","","","","","survey","16","2995209","0.0-3.0-9.0","2025-12-12T16:21:14.304Z","2_qpsr0p","70341","{""DSSQ"":{""DSSQ01"":2,""DSSQ02"":3,""DSSQ03"":1,""DSSQ04"":1,""DSSQ05"":4,""DSSQ06"":2,""DSSQ07"":1,""DSSQ08"":1},""DSSQIntro"":null}","DSSQ","","","","","","","","","",""
"","","","","","html-slider-response","17","3010643","0.0-3.0-10.0","2025-12-12T16:21:14.304Z","2_qpsr0p","15430","50","time1","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>1. How often did you think about time <b>during the task</b>?</p>","50","","","","","","","",""
