"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","7517","0.0-0.0","2025-12-19T11:27:14.791Z","2_kv9l2r","","","","","","","","","","","","",""
"","","","","","survey","1","11241","0.0-1.0","2025-12-19T11:27:14.791Z","2_kv9l2r","3695","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","18443","0.0-2.0","2025-12-19T11:27:14.791Z","2_kv9l2r","7170","{""subject_id"":""2_kv9l2r""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","45108","0.0-3.0-0.0","2025-12-19T11:27:14.791Z","2_kv9l2r","26663","23","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","49735","0.0-3.0-1.0","2025-12-19T11:27:14.791Z","2_kv9l2r","4624","94","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","256802","0.0-3.0-2.0","2025-12-19T11:27:14.791Z","2_kv9l2r","207064","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","439317","0.0-3.0-3.0","2025-12-19T11:27:14.791Z","2_kv9l2r","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","439319","0.0-3.0-4.0-0.0","2025-12-19T11:27:14.791Z","2_kv9l2r","","","","","","","","","","","","",""
"","","","","","survey","8","599789","0.0-3.0-4.0-1.0","2025-12-19T11:27:14.791Z","2_kv9l2r","160377","{""PCIRest1"":4,""PCIRest2"":1,""PCIRest3"":2,""PCIRest4"":4,""PCIRest5"":2,""PCIRest6"":6,""PCIRest7"":4,""PCIRest8"":2,""PCIRest9"":4,""PCIRest10"":5,""PCIRest11"":1,""PCIRest12"":1,""PCIRest13"":1,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","599792","0.0-3.0-4.0-2.0","2025-12-19T11:27:14.791Z","2_kv9l2r","","","","","","","","","","","","",""
