"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","13573","0.0-0.0","2025-12-22T11:46:15.154Z","2_fgn82s","","","","","","","","","","","","",""
"","","","","","survey","1","18932","0.0-1.0","2025-12-22T11:46:15.154Z","2_fgn82s","5318","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","27687","0.0-2.0","2025-12-22T11:46:15.154Z","2_fgn82s","8701","{""subject_id"":""2_fgn82s""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","34828","0.0-3.0-0.0","2025-12-22T11:46:15.154Z","2_fgn82s","7138","23","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","40323","0.0-3.0-1.0","2025-12-22T11:46:15.154Z","2_fgn82s","5492","63","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","46369","0.0-3.0-2.0","2025-12-22T11:46:15.154Z","2_fgn82s","6044","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","228880","0.0-3.0-3.0","2025-12-22T11:46:15.154Z","2_fgn82s","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","228883","0.0-3.0-4.0-0.0","2025-12-22T11:46:15.154Z","2_fgn82s","","","","","","","","","","","","",""
"","","","","","survey","8","304023","0.0-3.0-4.0-1.0","2025-12-22T11:46:15.154Z","2_fgn82s","75040","{""PCIRest1"":4,""PCIRest2"":1,""PCIRest3"":6,""PCIRest4"":4,""PCIRest5"":2,""PCIRest6"":5,""PCIRest7"":5,""PCIRest8"":2,""PCIRest9"":2,""PCIRest10"":5,""PCIRest11"":0,""PCIRest12"":1,""PCIRest13"":1,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","304027","0.0-3.0-4.0-2.0","2025-12-22T11:46:15.154Z","2_fgn82s","","","","","","","","","","","","",""
