"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value"
"true","false","[]","[]","[]","preload","0","4396","0.0-0.0","2026-05-21T15:43:58.570Z","4_000028","","","","","",""
"","","","","","survey","1","8906","0.0-1.0","2026-05-21T15:43:58.570Z","4_000028","4488","{""testrun"":""Experiment""}","testrun","","",""
"","","","","","survey-text","2","336046","0.0-2.0","2026-05-21T15:43:58.570Z","4_000028","327116","{""subject_id"":""4_000028""}","welcome","","",""
"","","","","","html-slider-response","3","370997","0.0-3.0-0.0","2026-05-21T15:43:58.570Z","4_000028","34949","80","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50",""
"","","","","","html-slider-response","4","377765","0.0-3.0-1.0","2026-05-21T15:43:58.570Z","4_000028","6767","100","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50",""
"","","","","","html-button-response","5","430685","0.0-3.0-2.0","2026-05-21T15:43:58.570Z","4_000028","52919","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","",""
"","","","","","html-keyboard-response","6","613363","0.0-3.0-3.0","2026-05-21T15:43:58.570Z","4_000028","null","null","rest","","",""
"","","","","","call-function","7","613364","0.0-3.0-4.0-0.0","2026-05-21T15:43:58.570Z","4_000028","","","","","",""
"","","","","","survey","8","794728","0.0-3.0-4.0-1.0","2026-05-21T15:43:58.570Z","4_000028","181336","{""PCIRest1"":6,""PCIRest2"":6,""PCIRest3"":4,""PCIRest4"":6,""PCIRest5"":6,""PCIRest6"":0,""PCIRest7"":2,""PCIRest8"":2,""PCIRest9"":1,""PCIRest10"":0,""PCIRest11"":5,""PCIRest12"":5,""PCIRest13"":5,""PCIIntro"":null}","PCIRest","","",""
"","","","","","call-function","9","794729","0.0-3.0-4.0-2.0","2026-05-21T15:43:58.570Z","4_000028","","","","","",""
